Kaohsiung Int'l (KHH / RCKH)
吉隆坡国际机场 (KUL / WMKK)
汶萊國際機場 (BWN / WBSB)
福岡機場 (FUK / RJFF)
上海浦东国际机场 (PVG / ZSPD)
新加坡樟宜机场 (SIN / WSSS)
成田国际机场 (NRT / RJAA)
成田国际机场 (NRT / RJAA)
香港國際機場 (HKG / VHHH)
新加坡樟宜机场 (SIN / WSSS)
香港國際機場 (HKG / VHHH)
新加坡樟宜机场 (SIN / WSSS)
福岡機場 (FUK / RJFF)
那霸機場 (OKA / ROAH)
成田国际机场 (NRT / RJAA)
成田国际机场 (NRT / RJAA)
香港國際機場 (HKG / VHHH)
新加坡樟宜机场 (SIN / WSSS)
北京首都国际机场 (PEK / ZBAA)
仁川國際機場 (ICN / RKSI)
上海浦东国际机场 (PVG / ZSPD)
成田国际机场 (NRT / RJAA)
关西国际机场 (KIX / RJBB)
中部國際機場 (NGO / RJGG)
厦门高崎国际机场 (XMN / ZSAM)
上海浦东国际机场 (PVG / ZSPD)
深圳宝安国际机场 (SZX / ZGSZ)
那霸機場 (OKA / ROAH)
Clark International (CRK / RPLC)
約翰·菲茨傑拉德·甘迺迪國際機場 (KJFK)
法兰克福国际机场 (FRA / EDDF)
史基浦機場 (AMS / EHAM)
素万那普机场 (BKK / VTBS)
深圳宝安国际机场 (SZX / ZGSZ)
上海浦东国际机场 (PVG / ZSPD)
新加坡樟宜机场 (SIN / WSSS)
布里斯班機場 (BNE / YBBN)
多倫多皮爾遜國際機場 (CYYZ)
溫哥華國際機場 (CYVR)
新加坡樟宜机场 (SIN / WSSS)
舊金山國際機場 (KSFO)
喬治·布什洲際機場 (KIAH)
香港國際機場 (HKG / VHHH)
溫哥華國際機場 (CYVR)
洛杉磯國際機場 (KLAX)
奥黑尔国际机场 (KORD)
上海浦东国际机场 (PVG / ZSPD)
洛杉磯國際機場 (KLAX)
舊金山國際機場 (KSFO)
舊金山國際機場 (KSFO)
洛杉磯國際機場 (KLAX)
西雅圖－塔科馬國際機場 (KSEA)
香港國際機場 (HKG / VHHH)
广州白云国际机场 (CAN / ZGGG)
重庆江北国际机场 (CKG / ZUCK)
悉尼机场 (SYD / YSSY)
香港國際機場 (HKG / VHHH)
上海浦东国际机场 (PVG / ZSPD)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
香港國際機場 (HKG / VHHH)
Tan Son Nhat Int'l (SGN / VVTS)
內排國際機場 (HAN / VVNB)
上海浦东国际机场 (PVG / ZSPD)
关西国际机场 (KIX / RJBB)
成田国际机场 (NRT / RJAA)
成田国际机场 (NRT / RJAA)
成田国际机场 (NRT / RJAA)
关西国际机场 (KIX / RJBB)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
蘇加諾－哈達國際機場 (CGK / WIII)
素万那普机场 (BKK / VTBS)
Palau Int'l (Babelthuap/Koror) (ROR / PTRO)
成田国际机场 (NRT / RJAA)
谢列梅捷沃国际机场 (SVO / UUEE)
福岡機場 (FUK / RJFF)
伍拉·賴國際機場 (DPS / WADD)
那霸機場 (OKA / ROAH)
素万那普机场 (BKK / VTBS)
香港國際機場 (HKG / VHHH)
Tan Son Nhat Int'l (SGN / VVTS)
蘇加諾－哈達國際機場 (CGK / WIII)
那霸機場 (OKA / ROAH)
仁川國際機場 (ICN / RKSI)
伍拉·賴國際機場 (DPS / WADD)
蘇加諾－哈達國際機場 (CGK / WIII)
关西国际机场 (KIX / RJBB)
香港國際機場 (HKG / VHHH)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
关西国际机场 (KIX / RJBB)
香港國際機場 (HKG / VHHH)
香港國際機場 (HKG / VHHH)
素万那普机场 (BKK / VTBS)
新加坡樟宜机场 (SIN / WSSS)
檳城國際機場 (PEN / WMKP)
素万那普机场 (BKK / VTBS)
香港國際機場 (HKG / VHHH)
马尼拉尼诺伊·阿基诺国际机场 (MNL / RPLL)
关西国际机场 (KIX / RJBB)
吉隆坡国际机场 (KUL / WMKK)
香港國際機場 (HKG / VHHH)
素万那普机场 (BKK / VTBS)
檳城國際機場 (PEN / WMKP)
新加坡樟宜机场 (SIN / WSSS)
舊金山國際機場 (KSFO)
香港國際機場 (HKG / VHHH)
那霸機場 (OKA / ROAH)
香港國際機場 (HKG / VHHH)
峴港國際機場 (DAD / VVDN)
內排國際機場 (HAN / VVNB)
安東尼奧·汪帕特國際機場 (PGUM)
Phnom Penh Int'l (Pochentong Int'l) (PNH / VDPP)
成田国际机场 (NRT / RJAA)
成田国际机场 (NRT / RJAA)
上海浦东国际机场 (PVG / ZSPD)
Tan Son Nhat Int'l (SGN / VVTS)
仰光国际机场 (RGN / VYYY)
北京首都国际机场 (PEK / ZBAA)
溫哥華國際機場 (CYVR)
上海浦东国际机场 (PVG / ZSPD)
內排國際機場 (HAN / VVNB)
清邁國際機場 (CNX / VTCC)
吉隆坡国际机场 (KUL / WMKK)
成田国际机场 (NRT / RJAA)
素万那普机场 (BKK / VTBS)
