areaDesc,effective,severity_level,instruction
印尼,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
寮國,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬來西亞,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬爾地夫,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
緬甸,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
菲律賓,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
新加坡,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
斯里蘭卡,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
泰國,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
越南,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴西,2019-10-07 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
奈及利亞,2019-10-07 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
剛果民主共和國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
喬治亞共和國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
幾內亞,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
印度,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
印尼,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
以色列,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
義大利,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
哈薩克,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬達加斯加,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
緬甸,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
紐西蘭,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
奈及利亞,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
菲律賓,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
波蘭,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
北馬其頓共和國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
羅馬尼亞,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
俄羅斯,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
泰國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
土耳其,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
烏克蘭,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
英國,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
越南,2019-09-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
緬甸,2019-08-26 08:00:00,第二級:警示(Alert),對當地採取加強防護
印度,2019-08-26 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬爾地夫,2019-08-26 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
泰國,2019-08-26 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2019-04-05 08:00:00,第二級:警示(Alert),對當地採取加強防護
剛果民主共和國,2018-05-15 08:00:00,第二級:警示(Alert),對當地採取加強防護
奈及利亞,2018-02-13 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
